model,n_rows,mean_abs_target_z_difference,max_abs_target_z_difference,mean_abs_mu_difference,mean_abs_sd_difference,mean_abs_quantile_z_difference
bioepi_sgq_lstm_full_raw,30048,9.713720281454055e-17,3.552713678800501e-15,0.0,0.0,0.0
bioepi_sgq_lstm_no_digital,30048,9.713720281454055e-17,3.552713678800501e-15,0.0,0.0,0.0
gb_full_raw,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.035378869316591066
persistence,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.03991858013589016
ridge_global_open,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.044333637364387835
ridge_google_wiki,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.04330191638929869
ridge_no_digital,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.03692772701569277
ridge_raw_cn_search,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.03802445921202451
ridge_social_raw,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.043575660317370056
seasonal_naive,30048,0.03357556372593696,1.384997929193256,58.99439666738504,92.53826808586406,0.04571499805280333
