country,region,start_week,end_week,expected_weeks,rows,observed_target_weeks,missing_target_weeks,duplicate_week_rows,coverage_percent
CHN,national,2015-01-05,2026-05-04,592,592,590,2,0,99.66
CHN,northern_provinces,2015-01-05,2026-05-04,592,592,590,2,0,99.66
CHN,southern_provinces,2015-01-05,2026-05-04,592,592,590,2,0,99.66
JPN,national,2014-12-29,2026-04-27,592,592,592,0,0,100.00
USA,hhs1,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs10,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs2,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs3,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs4,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs5,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs6,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs7,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs8,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,hhs9,2013-12-30,2026-04-27,644,644,644,0,0,100.00
USA,national,2013-12-30,2026-04-27,644,644,644,0,0,100.00
