variant,horizon_weeks,WIS,delta_WIS_vs_full,coverage_80,coverage_95
base_only,1,0.1576609375280318,0.005597566705482,0.8284384528968062,0.9394960680468624
base_only,2,0.2449275834253901,0.0104146749189238,0.7522067083935163,0.924971914620446
base_only,3,0.3295329960320698,0.0155733467492787,0.6875300914780934,0.8877387257262077
base_only,4,0.385518679557791,0.0181189145309782,0.6676295939656556,0.9325148451291928
no_china_local_search,1,0.1520633708225497,0.0,0.8334135772749157,0.9593965655593004
no_china_local_search,2,0.2345129085064663,0.0,0.7472315840154069,0.9398972877547744
no_china_local_search,3,0.313959649282791,0.0,0.7074305889905311,0.9122131279088428
no_china_local_search,4,0.3656706462506767,-0.001729118776136,0.6921039961482909,0.9374899695073022
no_full_lstm_expert,1,0.1518252838943942,-0.0002380869281555,0.8334135772749157,0.9593965655593004
no_full_lstm_expert,2,0.2341648269580451,-0.0003480815484211,0.7571818327716257,0.944872412132884
no_full_lstm_expert,3,0.3062184004179094,-0.0077412488648815,0.7223559621248595,0.9175894719948644
no_full_lstm_expert,4,0.3567751384635838,-0.0106246265632289,0.7024554646124218,0.9374899695073022
no_google_wiki,1,0.1563020881104778,0.0042387172879281,0.8284384528968062,0.9494463168030814
no_google_wiki,2,0.235997214316213,0.0014843058097467,0.7422564596372974,0.9398972877547744
no_google_wiki,3,0.3151729474837146,0.0012132982009236,0.7024554646124218,0.9122131279088428
no_google_wiki,4,0.3683913343884861,0.0009915693616733,0.6771786230139624,0.9374899695073022
no_gradient_boosting,1,0.1535322429833209,0.0014688721607712,0.8334135772749157,0.9494463168030814
no_gradient_boosting,2,0.2376495989177208,0.0031366904112545,0.7472315840154069,0.9398972877547744
no_gradient_boosting,3,0.3236150393213079,0.0096553900385168,0.6825549670999841,0.902262879152624
no_gradient_boosting,4,0.3810416693758043,0.0136419043489915,0.6771786230139624,0.9374899695073022
no_social,1,0.1520633708225497,0.0,0.8334135772749157,0.9593965655593004
no_social,2,0.2346935282329992,0.0001806197265329,0.7472315840154069,0.9398972877547744
no_social,3,0.313959649282791,0.0,0.7074305889905311,0.9122131279088428
no_social,4,0.3670981320947009,-0.0003016329321118,0.6921039961482909,0.9374899695073022
no_source_specific_ridge,1,0.1563020881104778,0.0042387172879281,0.8284384528968062,0.9494463168030814
no_source_specific_ridge,2,0.2361778340427459,0.0016649255362796,0.7422564596372974,0.9398972877547744
no_source_specific_ridge,3,0.3151729474837146,0.0012132982009236,0.7024554646124218,0.9122131279088428
no_source_specific_ridge,4,0.3656225509331798,-0.0017772140936329,0.6771786230139624,0.9374899695073022
static_equal_digital_blend,1,0.1569996719400632,0.0049363011175134,0.8218584496870486,0.9593965655593004
static_equal_digital_blend,2,0.2402674942461956,0.0057545857397293,0.7514042689776922,0.9585941261434762
static_equal_digital_blend,3,0.3272301413556192,0.0132704920728281,0.6767774033060503,0.9321136254212808
static_equal_digital_blend,4,0.3791611968879427,0.0117614318611299,0.6572781255015246,0.9370887497993902
