evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.005597566705482,-0.0127081961797337,-0.0006794878000149,0.991,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.005597566705482,-0.0139497638751326,-0.0002283331119536,0.9805,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.005597566705482,-0.0135874745273946,0.0004771743674934,0.9355,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.0151285147631266,-0.0282025681948322,-0.0039438160327614,0.996,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0151285147631266,-0.0287331807563769,-0.0045898884631315,0.996,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.0151285147631266,-0.029397901198095,-0.0031158612081111,0.995,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,4,-0.053673375031288,-0.0825318198149326,-0.0328246367089251,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,8,-0.053673375031288,-0.086807988923232,-0.0296909564399677,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,13,-0.053673375031288,-0.0883877631276595,-0.0278478347467156,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0875157256812114,-0.1533239982968446,-0.0454946289129313,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0875157256812114,-0.1310530264753866,-0.0368258978897983,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0875157256812114,-0.1180096593601912,-0.0332752113780391,1.0,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0104146749189238,-0.0199702287938343,-0.0033216221352027,0.9975,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0104146749189238,-0.022304565557519,-0.0020566905299457,0.997,196
