horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0074501343235453,-0.0236411174906172,0.0013556945194775,0.911,62
1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0074501343235453,-0.0178363723446711,0.0009779091185497,0.886,62
1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0074501343235453,-0.0124416774115608,0.0,0.8785,62
1,ridge_raw_cn_search,ridge_no_digital,4,-0.1990759157003036,-0.3172981311207525,-0.1138203758981225,1.0,62
1,ridge_raw_cn_search,ridge_no_digital,8,-0.1990759157003036,-0.3389487166599556,-0.1161637983739579,1.0,62
1,ridge_raw_cn_search,ridge_no_digital,13,-0.1990759157003036,-0.3344126774381303,-0.1156985928561848,1.0,62
2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.024130886903509,-0.0479104758303235,-0.0068900135900645,0.9975,62
2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.024130886903509,-0.0526957626736483,-0.0030801697150887,0.9865,62
2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.024130886903509,-0.0600725869768233,0.0004901572148534,0.971,62
2,ridge_raw_cn_search,ridge_no_digital,4,-0.2006467306369942,-0.3196127406383358,-0.1130545329021622,1.0,62
2,ridge_raw_cn_search,ridge_no_digital,8,-0.2006467306369942,-0.343572908759694,-0.1281832850577908,1.0,62
2,ridge_raw_cn_search,ridge_no_digital,13,-0.2006467306369942,-0.3411423016648391,-0.1307668798567246,1.0,62
3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,0.0074947890413443,-0.0234205756257066,0.0444948443630783,0.3635,62
3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,0.0074947890413443,-0.0242147825478077,0.043581543363058,0.3395,62
3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,0.0074947890413443,-0.0205324061875143,0.0387287217991912,0.2725,62
3,ridge_raw_cn_search,ridge_no_digital,4,-0.1598489209889705,-0.2601292590456266,-0.0829034672293463,1.0,62
3,ridge_raw_cn_search,ridge_no_digital,8,-0.1598489209889705,-0.2799320511508479,-0.092003205675019,1.0,62
3,ridge_raw_cn_search,ridge_no_digital,13,-0.1598489209889705,-0.2847969489696596,-0.0924113159113647,1.0,62
4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,0.0047015563118057,-0.0200618248952652,0.0369503145788617,0.428,62
4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,0.0047015563118057,-0.0200706793421895,0.0359420238199694,0.415,62
4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,0.0047015563118057,-0.015748200798268,0.0314120099220904,0.342,62
4,ridge_raw_cn_search,ridge_no_digital,4,-0.1211537812784257,-0.2108044375885936,-0.0577370056621488,1.0,62
4,ridge_raw_cn_search,ridge_no_digital,8,-0.1211537812784257,-0.2405491393539366,-0.0437062551975666,0.999,62
4,ridge_raw_cn_search,ridge_no_digital,13,-0.1211537812784257,-0.2403774327604086,-0.0480095722139924,1.0,62
