evaluation,official_delay_weeks,model,horizon,country,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,62.0,0.1581401813390982,0.2642480337817341,0.4103662975608223,0.9482875983407134,0.8091970249111049,0.6612903225806451,0.9032258064516128,0.967741935483871,0.4953923370441289,0.9200263593057968,1.7306945585465527
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,JPN,67.0,0.1813851169343107,0.2627966389662508,0.5908313669780042,0.8912324740476695,0.9680740681618646,0.6417910447761194,0.7761194029850746,0.9552238805970148,0.2268282783100894,0.5051502601633665,1.828910055552279
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,67.0,0.1166648141942402,0.2113033423385704,0.3655586804497064,0.9631294050166852,0.9845957378880998,0.4776119402985074,0.8208955223880597,0.9552238805970148,0.2430780356583088,0.4865215211564591,0.9510416743693066
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,CHN,62.0,0.2274889120665019,0.4069699335399442,0.6002402885899387,0.8890446045817035,0.7597365818348751,0.6612903225806451,0.8387096774193549,0.9838709677419356,0.7984770854895452,1.2403389738202126,2.3470150717904525
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,JPN,67.0,0.2730228387552236,0.4146654516931944,0.7621294720875942,0.809411690713328,0.9057785936627026,0.6865671641791045,0.7313432835820896,0.9253731343283582,0.4191267882084635,0.6286912752074414,2.614231268810125
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,67.0,0.2030269746976732,0.3323071878831056,0.6027100552437186,0.8956607975788294,0.964642030489265,0.3283582089552239,0.6716417910447762,0.9104477611940298,0.3064571466342399,0.67444845896433,1.3465297479139595
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,CHN,62.0,0.3118627304249174,0.5210129503674141,0.7723137885137883,0.8071348103224417,0.7825024884239341,0.7096774193548387,0.8387096774193549,0.8709677419354839,1.1895019369527648,1.6135283166885,2.406427710192983
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,JPN,67.0,0.3753234414608275,0.5771296614104919,1.0363927035162108,0.6217932482092546,0.8650331231542822,0.5522388059701493,0.6865671641791045,0.9850746268656716,0.3262796289489357,0.8278789406620805,4.790076268184216
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,USA,67.0,0.254692775962628,0.4319211161007875,0.7170387686773634,0.8512611517344635,0.9561816585521592,0.2835820895522388,0.5970149253731343,0.8805970149253731,0.3762992824012199,0.7795805785766841,1.5970381750780234
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,CHN,62.0,0.3897858133697909,0.6684179321989389,0.9866551318196972,0.6879694695358662,0.7249099691755062,0.6129032258064516,0.8225806451612904,0.8870967741935484,1.2056984682340637,1.8830951076514697,2.777327411741739
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,JPN,67.0,0.4310134121988064,0.6442981255429701,1.157497139934671,0.4658459050668018,0.79935349346996,0.5970149253731343,0.6716417910447762,1.0,0.4385850134140115,0.8420207129747665,6.008337057206484
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,USA,67.0,0.2814000695118409,0.4731365261875895,0.7647803398852049,0.828782624424183,0.9445686008460372,0.373134328358209,0.582089552238806,0.9253731343283582,0.4721431952548217,0.9182099891150276,2.2032777902587504
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,CHN,62.0,0.1743610170737113,0.3069984251075236,0.452698429186557,0.9393683021973884,0.8078874816117342,0.3548387096774194,0.7419354838709677,0.967741935483871,0.3643334355941343,0.8724722602704313,1.8225210882317755
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,JPN,67.0,0.2091798967998192,0.2938883542889298,0.6112959840106496,0.8869233131634662,0.9483198978370184,0.5373134328358209,0.7164179104477612,0.835820895522388,0.2436181572428859,0.5364395905255523,0.9048074254364108
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,67.0,0.1180347428834986,0.1997370165171211,0.340950188679228,0.9669130453972824,0.983837497006944,0.4029850746268656,0.6865671641791045,0.9253731343283582,0.2192615516447295,0.3912030565677516,0.7916100606989505
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,CHN,62.0,0.2851185777540104,0.5176008640865748,0.744012339933923,0.8352709799290511,0.7133233452821811,0.3870967741935484,0.8548387096774194,0.9032258064516128,0.6326236362899504,1.666656564631916,2.143774471302341
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,JPN,67.0,0.3060485454064459,0.4911564773918267,0.8560720456634913,0.7836119831744524,0.8715380317663023,0.6119402985074627,0.746268656716418,0.8507462686567164,0.4157876707535003,0.7316628977670907,1.7677260144927227
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,USA,67.0,0.2017100827229938,0.3344330517875547,0.5500171892352558,0.9104701011621305,0.9687924016282228,0.2835820895522388,0.5522388059701493,0.9104477611940298,0.2975509679960219,0.562796175090555,1.0532690480129043
