evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs,denominator_WIS,wis_reduction_pct,ci_low_reduction_pct,ci_high_reduction_pct,comparison
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.005597566705482,-0.0139497638751326,-0.0002283331119536,0.9805,196,0.1576609375280318,3.550382734776497,0.14482541809888883,8.847951873083566,Surveillance SGQ-LSTM
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0151285147631266,-0.0287331807563769,-0.0045898884631315,0.996,196,0.1671918855856764,9.048593901630525,2.7452818341350906,17.18575076519055,Full digital SGQ-LSTM
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,8,-0.053673375031288,-0.086807988923232,-0.0296909564399677,1.0,196,0.2057367458538378,26.088375612502077,14.431528172930827,42.19372118624996,Persistence
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0875157256812114,-0.1310530264753866,-0.0368258978897983,1.0,196,0.2395790965037611,36.52894887673871,15.371081378637797,54.701361006814395,Digital gradient boosting
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0104146749189238,-0.022304565557519,-0.0020566905299457,0.997,196,0.2449275834253901,4.252144561780777,0.8397137232083988,9.106596017313594,Surveillance SGQ-LSTM
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0297794934546837,-0.0605367654383416,-0.0104600510295471,0.998,196,0.26429240196115,11.267631318081243,3.9577569963909482,22.905223528612932,Full digital SGQ-LSTM
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,persistence,8,-0.1062542860054868,-0.1792113551365114,-0.0534962238371405,1.0,196,0.3407671945119532,31.18090230418576,15.698759944823268,52.59055390973827,Persistence
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0651353547875419,-0.110462105132227,-0.0013870920865627,0.9815,196,0.2996482632940082,21.737270916078213,0.4629067665250295,36.86392302692709,Digital gradient boosting
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0155733467492788,-0.0370170437886158,0.0014521980725784,0.9615,196,0.3295329960320698,4.725883883191842,-0.44068366144344273,11.233182787259743,Surveillance SGQ-LSTM
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0268238305517655,-0.0654040727679003,-0.0028961981156918,0.9835,196,0.3407834798345565,7.871223852983698,0.8498645876548493,19.192266244728962,Full digital SGQ-LSTM
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,persistence,8,-0.1381530755148351,-0.2314053304955775,-0.0711066357710533,1.0,196,0.4521127247976261,30.55721901582729,15.727634253798525,51.183104965505834,Persistence
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0963357590438652,-0.1641138415683113,-0.0038480777582947,0.9835,196,0.4102954083266562,23.479609347021405,0.937879800797346,39.998946670554076,Digital gradient boosting
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0181189145309782,-0.0510339647056089,0.0059852326662501,0.9295,196,0.385518679557791,4.6998797961648675,-1.5525143095829903,13.237741103530283,Surveillance SGQ-LSTM
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.043392479838611,-0.0917716827313459,-0.0055961221547047,0.988,196,0.4107922448654237,10.563120502147369,1.3622755114420428,22.340169240880012,Full digital SGQ-LSTM
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,8,-0.173147806747994,-0.2777468289322931,-0.0871305398393221,1.0,196,0.5405475717748068,32.03192758400322,16.118940198591968,51.38249498010934,Persistence
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0914265938987892,-0.1704212060054482,0.0161008485621673,0.938,196,0.4588263589256018,19.926186044079024,-3.5091376615479137,37.14285430429724,Digital gradient boosting
