evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,variant,delta_WIS_vs_full,model_B,delta_WIS_vs_full_from_boot,ci_low_delta_WIS_vs_full,ci_high_delta_WIS_vs_full,ci_excludes_zero
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,1,0.1576609375280318,0.2575032220027425,0.464047090956483,0.9325886747419884,0.9183076469287582,0.5736639383726528,0.8284384528968062,0.9394960680468624,0.3423348085820724,0.6664033012572377,1.209635221461568,196.0,3,base_only,0.005597566705482,bioepi_safe_lstm_common_scale__base_only,0.005597566705482,0.0002283331119536,0.0139497638751326,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,2,0.2449275834253901,0.4083271370752553,0.6758241834959736,0.8579436284009475,0.8312404731014209,0.5388380677258867,0.7522067083935163,0.924971914620446,0.55526066921033,0.877208010618039,1.8398512855206048,196.0,3,base_only,0.0104146749189238,bioepi_safe_lstm_common_scale__base_only,0.0104146749189238,0.0020566905299457,0.022304565557519,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,3,0.3295329960320698,0.5461179643557985,0.8768473976000678,0.7501999171370416,0.8266555956481328,0.5263200128390306,0.6875300914780934,0.8877387257262077,0.6517296006079761,1.089469814128528,2.716045348064821,196.0,3,base_only,0.0155733467492787,bioepi_safe_lstm_common_scale__base_only,0.0155733467492788,-0.0014521980725784,0.0370170437886158,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,4,0.385518679557791,0.625211569747516,1.0036242164159357,0.6486652776907026,0.7712584243470938,0.5392392874337987,0.6676295939656556,0.9325148451291928,0.7505009317042272,1.1781541182079958,3.632181466802223,196.0,3,base_only,0.0181189145309782,bioepi_safe_lstm_common_scale__base_only,0.0181189145309782,-0.0059852326662501,0.0510339647056089,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,1,0.1520633708225497,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593004,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3,no_china_local_search,0.0,bioepi_safe_lstm_common_scale__no_china_local_search,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,2,0.2345129085064663,0.3846475243720814,0.6550266053070838,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547744,0.5080203401107496,0.847826235997328,2.1025920295048457,196.0,3,no_china_local_search,0.0,bioepi_safe_lstm_common_scale__no_china_local_search,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088428,0.6306936161009734,1.0736626119757549,2.9311807178184077,196.0,3,no_china_local_search,0.0,bioepi_safe_lstm_common_scale__no_china_local_search,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,4,0.3656706462506767,0.5881127016104293,0.9646787830503064,0.6633914890546555,0.8411523976130386,0.5330605039319531,0.6921039961482909,0.9374899695073022,0.6987982199293578,1.2106356012137054,3.661529868078855,196.0,3,no_china_local_search,-0.001729118776136,bioepi_safe_lstm_common_scale__no_china_local_search,-0.001729118776136,-0.0051873563284081,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,1,0.1518252838943942,0.2442051681855153,0.4554517734472755,0.934316158175292,0.9238015676992374,0.5985395602632001,0.8334135772749157,0.9593965655593004,0.3197088657190025,0.6411364867421321,1.5680910019571357,196.0,3,no_full_lstm_expert,-0.0002380869281555,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0002380869281555,-0.0011367418774104,0.0002134933700407,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,2,0.2341648269580451,0.3853723477550053,0.6513054009759783,0.864699318822176,0.8616340658687619,0.5388380677258867,0.7571818327716257,0.944872412132884,0.50997840341542,0.8541362599657321,2.155059878744508,196.0,3,no_full_lstm_expert,-0.0003480815484211,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0003480815484211,-0.0052806376463191,0.0037304926573332,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,3,0.3062184004179094,0.499451908562907,0.8274820066108352,0.7698357619023563,0.8773202885771573,0.541245385973359,0.7223559621248595,0.9175894719948644,0.6472114243972132,1.0772193392821932,3.0058431222542747,196.0,3,no_full_lstm_expert,-0.0077412488648815,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0077412488648815,-0.01813161372567,-0.0005744520425737,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,4,0.3567751384635838,0.5833793227122203,0.9464776403991036,0.6795179448072015,0.8292257975399496,0.5388380677258867,0.7024554646124218,0.9374899695073022,0.7302653247582541,1.2233591146428218,3.640807801330237,196.0,3,no_full_lstm_expert,-0.0106246265632289,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0106246265632289,-0.024863147943815,-0.0019107928041621,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_google_wiki,1,0.1563020881104778,0.2519378755140312,0.4617788831132781,0.9324722695416816,0.9205424621574276,0.6035146846413096,0.8284384528968062,0.9494463168030814,0.3269645431105109,0.6440159314283308,1.437114870558947,196.0,3,no_google_wiki,0.0042387172879281,bioepi_safe_lstm_common_scale__no_google_wiki,0.004238717287928,-2.4165302152910746e-19,0.0126936424821294,False
