evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,4,-0.005597566705482085,-0.012708196179733768,-0.0006794878000149163,0.991,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,8,-0.005597566705482085,-0.01394976387513264,-0.00022833311195369585,0.9805,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,13,-0.005597566705482085,-0.013587474527394625,0.0004771743674934638,0.9355,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,4,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,8,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,13,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,4,0.00023808692815551315,-0.0007844420433582429,0.0013037521915301204,0.305,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,8,0.00023808692815551315,-0.00021349337004072285,0.0011367418774104118,0.11,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,13,0.00023808692815551315,-0.00011618677394526554,0.0009789027866912285,0.0775,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,4,-0.0042387172879280975,-0.010942414070134545,2.0756268456339173e-19,0.9545,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,8,-0.0042387172879280975,-0.012693642482129473,2.4165302152910746e-19,0.855,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,13,-0.0042387172879280975,-0.01165323896386875,3.2795767207521726e-19,0.7145,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,4,-0.001468872160771212,-0.0050376051204497055,0.0007068161971038189,0.838,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,8,-0.001468872160771212,-0.00521382386541384,0.000544473633387036,0.812,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,13,-0.001468872160771212,-0.005740488528697289,0.0005528620280005057,0.8095,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,4,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,8,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,13,0.0,0.0,0.0,0.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,4,-0.0042387172879280975,-0.010942414070134545,2.0756268456339173e-19,0.9545,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,8,-0.0042387172879280975,-0.012693642482129473,2.4165302152910746e-19,0.855,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,13,-0.0042387172879280975,-0.01165323896386875,3.2795767207521726e-19,0.7145,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,4,-0.0049363011175134735,-0.015859888618781945,0.0011910781045533206,0.956,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,8,-0.0049363011175134735,-0.014113181807228816,0.0015370909259390002,0.935,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,13,-0.0049363011175134735,-0.012414645853405614,0.001513216717519559,0.9235,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,4,-0.010414674918923839,-0.019970228793834352,-0.0033216221352027828,0.9975,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,8,-0.010414674918923839,-0.022304565557519022,-0.002056690529945748,0.997,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,13,-0.010414674918923839,-0.022436326184984264,-0.0010335711958900675,0.995,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,4,0.0,0.0,0.0,0.0,196
