horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.00745013432354534,-0.023641117490617234,0.0013556945194775976,0.911,62
1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.00745013432354534,-0.017836372344671107,0.0009779091185497188,0.886,62
1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.00745013432354534,-0.01244167741156081,0.0,0.8785,62
1,ridge_raw_cn_search,ridge_no_digital,4,-0.19907591570030364,-0.3172981311207525,-0.11382037589812256,1.0,62
1,ridge_raw_cn_search,ridge_no_digital,8,-0.19907591570030364,-0.33894871665995563,-0.11616379837395797,1.0,62
1,ridge_raw_cn_search,ridge_no_digital,13,-0.19907591570030364,-0.33441267743813036,-0.11569859285618482,1.0,62
2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.02413088690350908,-0.04791047583032352,-0.0068900135900645115,0.9975,62
2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.02413088690350908,-0.05269576267364831,-0.0030801697150887332,0.9865,62
2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.02413088690350908,-0.06007258697682339,0.0004901572148534599,0.971,62
2,ridge_raw_cn_search,ridge_no_digital,4,-0.20064673063699429,-0.3196127406383358,-0.11305453290216225,1.0,62
2,ridge_raw_cn_search,ridge_no_digital,8,-0.20064673063699429,-0.34357290875969404,-0.12818328505779084,1.0,62
2,ridge_raw_cn_search,ridge_no_digital,13,-0.20064673063699429,-0.3411423016648391,-0.13076687985672464,1.0,62
3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,0.007494789041344322,-0.023420575625706635,0.044494844363078316,0.3635,62
3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,0.007494789041344322,-0.02421478254780774,0.043581543363058084,0.3395,62
3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,0.007494789041344322,-0.02053240618751435,0.03872872179919127,0.2725,62
3,ridge_raw_cn_search,ridge_no_digital,4,-0.15984892098897058,-0.2601292590456266,-0.08290346722934637,1.0,62
3,ridge_raw_cn_search,ridge_no_digital,8,-0.15984892098897058,-0.27993205115084796,-0.09200320567501903,1.0,62
3,ridge_raw_cn_search,ridge_no_digital,13,-0.15984892098897058,-0.2847969489696596,-0.09241131591136478,1.0,62
4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,0.004701556311805783,-0.02006182489526528,0.036950314578861713,0.428,62
4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,0.004701556311805783,-0.02007067934218959,0.035942023819969436,0.415,62
4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,0.004701556311805783,-0.01574820079826809,0.031412009922090464,0.342,62
4,ridge_raw_cn_search,ridge_no_digital,4,-0.12115378127842577,-0.21080443758859363,-0.057737005662148864,1.0,62
4,ridge_raw_cn_search,ridge_no_digital,8,-0.12115378127842577,-0.2405491393539366,-0.04370625519756667,0.999,62
4,ridge_raw_cn_search,ridge_no_digital,13,-0.12115378127842577,-0.2403774327604086,-0.04800957221399242,1.0,62
