evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.005597566705482085,-0.012708196179733768,-0.0006794878000149163,0.991,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.005597566705482085,-0.01394976387513264,-0.00022833311195369585,0.9805,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.005597566705482085,-0.013587474527394625,0.0004771743674934638,0.9355,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.015128514763126613,-0.028202568194832273,-0.003943816032761402,0.996,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.015128514763126613,-0.028733180756376923,-0.00458988846313158,0.996,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.015128514763126613,-0.029397901198095024,-0.003115861208111126,0.995,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,4,-0.05367337503128807,-0.08253181981493267,-0.03282463670892515,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,8,-0.05367337503128807,-0.08680798892323204,-0.029690956439967716,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,persistence,13,-0.05367337503128807,-0.08838776312765959,-0.027847834746715625,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0875157256812114,-0.15332399829684468,-0.04549462891293139,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0875157256812114,-0.1310530264753866,-0.03682589788979831,1.0,196
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0875157256812114,-0.11800965936019121,-0.03327521137803919,1.0,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.010414674918923839,-0.019970228793834352,-0.0033216221352027828,0.9975,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.010414674918923839,-0.022304565557519022,-0.002056690529945748,0.997,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.010414674918923839,-0.022436326184984264,-0.0010335711958900675,0.995,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.02977949345468377,-0.05580706742600653,-0.010335919008301497,0.9985,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.02977949345468377,-0.06053676543834165,-0.010460051029547106,0.998,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.02977949345468377,-0.06133292341633419,-0.01047522775394606,0.997,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,persistence,4,-0.10625428600548688,-0.1660484459332342,-0.06189817021394023,1.0,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,persistence,8,-0.10625428600548688,-0.17921135513651149,-0.05349622383714051,1.0,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,persistence,13,-0.10625428600548688,-0.18305442610055106,-0.0503452026084701,1.0,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.06513535478754191,-0.12991299705904202,-0.0073863195605671506,0.9865,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.06513535478754191,-0.11046210513222707,-0.0013870920865627827,0.9815,196
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.06513535478754191,-0.09194088704873231,0.0005751755114801641,0.9725,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0155733467492788,-0.03514893302857622,0.0006002294097881984,0.9685,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0155733467492788,-0.0370170437886158,0.0014521980725784914,0.9615,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0155733467492788,-0.03569202476487978,0.006722216934437212,0.886,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.026823830551765543,-0.05788114919947575,0.0016577368181732457,0.9685,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.026823830551765543,-0.06540407276790036,-0.0028961981156918355,0.9835,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.026823830551765543,-0.0641223192870631,-0.0024698248549116894,0.9865,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,persistence,4,-0.1381530755148351,-0.20813445339119105,-0.08132280147577409,1.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,persistence,8,-0.1381530755148351,-0.23140533049557754,-0.07110663577105339,1.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,persistence,13,-0.1381530755148351,-0.23808031016561604,-0.059417892729787106,1.0,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.09633575904386528,-0.20362363806295353,-0.008036906086399254,0.988,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.09633575904386528,-0.16411384156831135,-0.0038480777582947244,0.9835,196
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.09633575904386528,-0.140297715370912,0.0016841087758040615,0.9715,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.018118914530978244,-0.0456212546267695,0.004391521230590009,0.944,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.018118914530978244,-0.051033964705608933,0.0059852326662501384,0.9295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.018118914530978244,-0.0502220422349993,0.012442561009884725,0.8295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.04339247983861105,-0.08587856047932407,-0.007879165457861156,0.994,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.04339247983861105,-0.09177168273134592,-0.005596122154704769,0.988,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.04339247983861105,-0.09144367997077604,-0.004103120780119579,0.985,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,4,-0.17314780674799402,-0.2588993095090059,-0.10412800352337559,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,8,-0.17314780674799402,-0.27774682893229313,-0.08713053983932216,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,persistence,13,-0.17314780674799402,-0.2835598273435396,-0.07589608672080625,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.0914265938987892,-0.18422195323637913,0.00026081108483314643,0.9745,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.0914265938987892,-0.17042120600544824,0.01610084856216735,0.938,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.0914265938987892,-0.1488173861100463,0.02585824505920582,0.8665,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.015511553259143676,-0.032590255841513725,-0.002797454437440674,0.991,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.015511553259143676,-0.03445468437376017,-0.0015842582615702735,0.9855,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.015511553259143676,-0.03314822225165243,0.0009684384076856772,0.965,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.018218379449976507,-0.044566140557053616,0.007124611041690025,0.9095,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.018218379449976507,-0.04664415225415965,0.007801223296867376,0.903,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.018218379449976507,-0.04730255741377889,0.009016922413233763,0.8955,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,4,-0.1040166936055145,-0.15853016531754896,-0.05293679510561336,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,8,-0.1040166936055145,-0.17092262500481703,-0.044597753673651354,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,persistence,13,-0.1040166936055145,-0.17844656430632092,-0.04095377499251397,1.0,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.052800746224599744,-0.13918655901184346,0.013538938774226052,0.9295,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.052800746224599744,-0.10095227693015335,0.009778036926840207,0.929,196
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.052800746224599744,-0.07888276612251795,0.01080807232507921,0.9,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.016094278708444196,-0.03392026843650153,-0.0009253054441952257,0.982,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.016094278708444196,-0.03596840900022158,-0.0012476424125099465,0.9845,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.016094278708444196,-0.035305378395110186,0.002429383992467638,0.95,196
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.023203074401527305,-0.07011173437606272,0.018493231535307915,0.8615,196
