country,horizon,probability_threshold,dev_n_events,dev_n_alarms,dev_matched,dev_sensitivity,dev_PPV,dev_F1,dev_mean_lead_weeks
CHN,1,0.45000000000000007,11,21,11,1.0,0.5238095238095238,0.6875000000000001,3.6363636363636362
CHN,2,0.3500000000000001,11,21,11,1.0,0.5238095238095238,0.6875000000000001,3.6363636363636362
CHN,3,0.9000000000000002,11,14,9,0.8181818181818182,0.6428571428571429,0.7200000000000001,2.6666666666666665
CHN,4,0.6500000000000001,11,21,11,1.0,0.5238095238095238,0.6875000000000001,4.090909090909091
JPN,1,0.8500000000000002,9,14,8,0.8888888888888888,0.5714285714285714,0.6956521739130435,4.25
JPN,2,0.5500000000000002,9,16,9,1.0,0.5625,0.72,4.333333333333333
JPN,3,0.8500000000000002,9,15,9,1.0,0.6,0.7499999999999999,3.888888888888889
JPN,4,0.45000000000000007,9,19,9,1.0,0.47368421052631576,0.6428571428571429,4.666666666666667
USA,1,0.9000000000000002,2,5,2,1.0,0.4,0.5714285714285715,4.0
USA,2,0.8000000000000002,2,5,2,1.0,0.4,0.5714285714285715,4.0
USA,3,0.9000000000000002,2,1,1,0.5,1.0,0.6666666666666666,1.0
USA,4,0.8500000000000002,2,1,1,0.5,1.0,0.6666666666666666,1.0
