evaluation,official_delay_weeks,model,horizon,country,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,124.0,0.1648586326044244,0.27378570990315915,0.42395700843129974,0.9430844651838277,0.8284317142595644,0.6451612903225806,0.8951612903225806,0.9758064516129032,0.5016160945018804,1.1056861011969008,1.8738511598847514
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,670.0,0.13901660500517052,0.23412484442871942,0.41803047108532976,0.9584966622441448,0.9855181598041217,0.49701492537313435,0.735820895522388,0.9253731343283582,0.2585970245374262,0.5062122958821997,0.9860104533276586
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,CHN,124.0,0.2498525234878624,0.4282450765887732,0.6339238757607133,0.8714412698057937,0.7490185376018734,0.6693548387096774,0.8225806451612904,0.9516129032258065,0.8808999752993469,1.515678999979249,2.4950736818903283
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,670.0,0.2410259046713244,0.3852231643376716,0.6991311700168719,0.8774950046773752,0.9636601831087025,0.47761194029850745,0.7044776119402985,0.8761194029850746,0.3613144773738246,0.7305049943568441,1.3554384717724188
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,CHN,124.0,0.3265225251248495,0.552519231745881,0.817265030408988,0.7713663163573454,0.760715183740715,0.6935483870967742,0.8548387096774194,0.9032258064516129,1.1710373899442272,1.7870584553500828,2.7177058468752273
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,USA,670.0,0.30181702972200614,0.47726514939393844,0.8492241353368003,0.8124249714150954,0.9435155725785207,0.44776119402985076,0.6835820895522388,0.8611940298507462,0.448954969016902,0.8827361034957676,1.8996036716724976
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,CHN,124.0,0.40835818753500186,0.7257909012249836,1.043190764466098,0.6374635463925337,0.702608909815117,0.5645161290322581,0.8225806451612904,0.8870967741935484,1.2675796157677444,1.983628610323422,3.107087725508933
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,USA,670.0,0.3397035667735455,0.5383248358722387,0.9397305223452505,0.7654976141749514,0.9263321972535589,0.46865671641791046,0.6880597014925374,0.9029850746268657,0.571797163431119,1.0769341513086144,2.6063010151046
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,CHN,124.0,0.17471581681281517,0.28898039122338964,0.4585733785527488,0.9331841741864558,0.8409092429960321,0.47580645161290325,0.8709677419354839,0.9758064516129032,0.3782012429606032,1.0016027103554401,1.8620572902202126
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,USA,670.0,0.140228465734113,0.2286851495781077,0.4075315049627684,0.9603688486608715,0.9853137592064803,0.44925373134328356,0.682089552238806,0.9104477611940298,0.24413286988529825,0.45520492160180903,0.8694921570102906
