evaluation,official_delay_weeks,model,horizon,country,region,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,northern_provinces,62.0,0.1704861364374574,0.27865194918311,0.44850774614612754,0.942353042416614,0.8318168656490975,0.6290322580645161,0.8709677419354839,0.967741935483871,0.4676135175453585,1.0905689148062048,1.8886215895466945
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,CHN,southern_provinces,62.0,0.15923112877139142,0.26891947062320826,0.39789432220497334,0.9437381141686186,0.8261217996579507,0.6612903225806451,0.9193548387096774,0.9838709677419355,0.5356186714584023,1.1208032875875966,1.8590807302228083
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs1,67.0,0.20220984118919963,0.3221341522531074,0.5918659681462861,0.9539080556847268,0.9846356453028975,0.43283582089552236,0.6865671641791045,0.9104477611940298,0.281533051130156,0.5432562712574242,1.055779328819799
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs10,67.0,0.1457290845927457,0.24461144229070197,0.41707506280691853,0.9662250197662603,0.9857131455024344,0.47761194029850745,0.746268656716418,0.9104477611940298,0.2665896187911727,0.5489801295282347,1.0985937462452409
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs2,67.0,0.14783646029215,0.2508598799323867,0.4456683883596749,0.9566962878833353,0.979128422060819,0.43283582089552236,0.7164179104477612,0.8955223880597015,0.2551380065654418,0.5072121347080609,0.9470308908150044
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs3,67.0,0.11610157601131257,0.1956687292636146,0.33998028432864136,0.9591762988965107,0.9824806449038233,0.4925373134328358,0.7164179104477612,0.9253731343283582,0.2300803433668082,0.4543819168905364,0.8854831602457198
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs4,67.0,0.12882898569879073,0.2215990478580863,0.3884755219550694,0.9509988227485295,0.9752574028254453,0.4925373134328358,0.7611940298507462,0.9253731343283582,0.2626139450189182,0.49701895043121924,0.9704647544980128
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs5,67.0,0.17942623559055534,0.3010314087005843,0.5156905569709718,0.9560665298584173,0.9824407374890255,0.43283582089552236,0.6567164179104478,0.8656716417910447,0.27512786473884293,0.511680584340426,1.025879111273715
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs6,67.0,0.12709412625772706,0.22981094580322847,0.35483572917615125,0.926479510246487,0.9548248064490383,0.5522388059701493,0.7164179104477612,0.9253731343283582,0.2799998729470777,0.5445754962836558,0.9369883819313316
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs7,67.0,0.13953273185240656,0.22352497331533008,0.41247996166832324,0.9476351518456295,0.9750578657514567,0.582089552238806,0.7910447761194029,0.9402985074626866,0.2365397197758134,0.482918226700817,0.998009492218618
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs8,67.0,0.10622042716439821,0.18427248840819194,0.3404013946905409,0.9557646752700469,0.9834384228589673,0.47761194029850745,0.7313432835820896,0.9701492537313433,0.22696043045903602,0.43730377109874474,0.867094865687263
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,USA,hhs9,67.0,0.09718658140241938,0.16773537646196265,0.28330143749258513,0.9760710441201116,0.9885066645382714,0.5970149253731343,0.835820895522388,0.9850746268656716,0.2713873925809957,0.5347954775828785,1.0747808015418807
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,CHN,northern_provinces,62.0,0.2520727401855333,0.42020349551531067,0.6518332512226576,0.8743196443141606,0.7301849937898752,0.6451612903225806,0.7580645161290323,0.9354838709677419,0.8048174610955512,1.3581790034268848,2.4436383792345873
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,CHN,southern_provinces,62.0,0.24763230679019144,0.43628665766223595,0.6154936012010753,0.8689790913785563,0.7735183127119487,0.6935483870967742,0.8870967741935484,0.967741935483871,0.9569824895031431,1.6731789965316122,2.54650898454607
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs1,67.0,0.37771798771670323,0.5595585776437888,1.024398937690705,0.8562118391989658,0.9666374012291485,0.3880597014925373,0.6119402985074627,0.8208955223880597,0.3607103652278163,0.7259596652586287,1.3516267893585694
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs10,67.0,0.24820832967554896,0.4004227543121142,0.7058087202888971,0.8952205252881649,0.9642828637560861,0.44776119402985076,0.7611940298507462,0.8805970149253731,0.3621992094877129,0.7924759452753878,1.51145088193154
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs2,67.0,0.26268903042877423,0.4098299762567053,0.7545930424426441,0.8695756258852029,0.958376566366031,0.47761194029850745,0.6417910447761194,0.8656716417910447,0.3656596342029022,0.6968925360200346,1.2924694438789974
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs3,67.0,0.2038531420245456,0.3480869255582078,0.5791319834051393,0.8788285695905754,0.9626865671641793,0.4626865671641791,0.6716417910447762,0.8805970149253731,0.3624749785903541,0.6685089060907837,1.1732500487616992
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs4,67.0,0.2255675577363956,0.37111275316072495,0.6581569618630514,0.8527418656028144,0.9420145262989866,0.5223880597014925,0.7014925373134329,0.8656716417910447,0.4166897111411401,0.7260729555806696,1.3363177626204663
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs5,67.0,0.3272663062076224,0.502958046792195,0.8610157484388995,0.8725485943666479,0.9567403623593265,0.373134328358209,0.6119402985074627,0.8059701492537313,0.34941495862846617,0.7345306675243212,1.378351224658691
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs6,67.0,0.188091795017465,0.3232879832481075,0.5343312698836372,0.8428778272321767,0.9166334104876687,0.5223880597014925,0.8059701492537313,0.8955223880597015,0.4055932524164989,0.8415415636323779,1.4518332583008495
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs7,67.0,0.2369082565043105,0.3698798958050241,0.6605323716688593,0.8587347319692887,0.9424136004469632,0.5223880597014925,0.7164179104477612,0.8507462686567164,0.3027487797836458,0.6783559264638022,1.3636453750233797
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs8,67.0,0.18712644164691603,0.28985761055838044,0.5793251971540907,0.8777580858624773,0.9646819379040626,0.5522388059701493,0.7611940298507462,0.9253731343283582,0.3259478835660391,0.6903767793805222,1.3197275528963632
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,USA,hhs9,67.0,0.15283019975496187,0.2772371200414675,0.4511440703856296,0.9322630699468689,0.9726634208635967,0.5074626865671642,0.7611940298507462,0.9701492537313433,0.36170600069367087,0.750334998341914,1.3757123802936315
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,CHN,northern_provinces,62.0,0.3318098535392329,0.5592716442003466,0.8477786020960631,0.7667397943943173,0.7509535837181824,0.5967741935483871,0.8064516129032258,0.8870967741935484,0.9724092916627751,1.6671079231786632,2.619634787023712
