evaluation,official_delay_weeks,model,horizon,WIS,activity
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,0.14189488845484383,all
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,0.2597220922377908,all
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,0.3546106766931993,all
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,0.4382953975440125,all
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,0.15187833810399523,all
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,2,0.274834943613436,all
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,3,0.3658932060940776,all
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,4,0.47734207438634996,all
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,1,0.15066309967534802,all
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,2,0.2686212159401793,all
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,3,0.36975596793063953,all
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,4,0.4587010726875878,all
rolling_window_cv,0,gb_full_raw,1,0.3233987336885032,all
rolling_window_cv,0,gb_full_raw,2,0.4103004066642537,all
rolling_window_cv,0,gb_full_raw,3,0.43142202726754686,all
rolling_window_cv,0,gb_full_raw,4,0.4845078285870234,all
rolling_window_cv,0,persistence,1,0.1790944911080974,all
rolling_window_cv,0,persistence,2,0.30020259207155364,all
rolling_window_cv,0,persistence,3,0.3961915953203743,all
rolling_window_cv,0,persistence,4,0.49078458094374433,all
rolling_window_cv,0,ridge_global_open,1,0.6207236746646753,all
rolling_window_cv,0,ridge_global_open,2,0.5701295848753013,all
rolling_window_cv,0,ridge_global_open,3,0.6661707230862314,all
rolling_window_cv,0,ridge_global_open,4,0.8887442668475801,all
rolling_window_cv,0,ridge_google_wiki,1,0.6133501712460326,all
rolling_window_cv,0,ridge_google_wiki,2,0.5665929466510885,all
rolling_window_cv,0,ridge_google_wiki,3,0.6593253075317715,all
rolling_window_cv,0,ridge_google_wiki,4,0.8843128034867104,all
rolling_window_cv,0,ridge_no_digital,1,0.3699302740626913,all
rolling_window_cv,0,ridge_no_digital,2,0.5690771708898849,all
rolling_window_cv,0,ridge_no_digital,3,0.6604502680103806,all
rolling_window_cv,0,ridge_no_digital,4,0.8497431187009994,all
rolling_window_cv,0,ridge_raw_cn_search,1,0.2774391008570907,all
rolling_window_cv,0,ridge_raw_cn_search,2,0.4177302727632915,all
rolling_window_cv,0,ridge_raw_cn_search,3,0.41406060138961537,all
rolling_window_cv,0,ridge_raw_cn_search,4,0.48086322224060135,all
rolling_window_cv,0,ridge_social_raw,1,0.30844459520822953,all
rolling_window_cv,0,ridge_social_raw,2,0.45558255750950366,all
rolling_window_cv,0,ridge_social_raw,3,0.4879161144703597,all
rolling_window_cv,0,ridge_social_raw,4,0.5309673800503596,all
rolling_window_cv,0,seasonal_naive,1,0.7782841395584955,all
rolling_window_cv,0,seasonal_naive,2,0.7848655738906037,all
rolling_window_cv,0,seasonal_naive,3,0.7926571527830903,all
rolling_window_cv,0,seasonal_naive,4,0.8095497828243968,all
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,1,0.15206337082254975,all
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,2,0.23451290850646633,all
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,3,0.31395964928279096,all
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale,4,0.36739976502681276,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,1,0.16719188558567635,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,2,0.26429240196115006,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,0.34078347983455654,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,0.41079224486542376,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,0.15766093752803184,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,0.24492758342539014,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,0.3295329960320698,all
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,4,0.38551867955779096,all
temporal_external_2025_2026,0,gb_full_raw,1,0.23957909650376116,all
temporal_external_2025_2026,0,gb_full_raw,2,0.29964826329400823,all
temporal_external_2025_2026,0,gb_full_raw,3,0.4102954083266563,all
temporal_external_2025_2026,0,gb_full_raw,4,0.4588263589256019,all
temporal_external_2025_2026,0,persistence,1,0.20573674585383786,all
temporal_external_2025_2026,0,persistence,2,0.3407671945119532,all
temporal_external_2025_2026,0,persistence,3,0.45211272479762604,all
temporal_external_2025_2026,0,persistence,4,0.5405475717748067,all
temporal_external_2025_2026,0,ridge_global_open,1,0.22076578347558204,all
temporal_external_2025_2026,0,ridge_global_open,2,0.41275185282097215,all
temporal_external_2025_2026,0,ridge_global_open,3,0.5104655367240255,all
temporal_external_2025_2026,0,ridge_global_open,4,0.5438715384563385,all
temporal_external_2025_2026,0,ridge_google_wiki,1,0.21670979687341144,all
temporal_external_2025_2026,0,ridge_google_wiki,2,0.36055943811909974,all
temporal_external_2025_2026,0,ridge_google_wiki,3,0.4181871414735621,all
temporal_external_2025_2026,0,ridge_google_wiki,4,0.45270203627103883,all
temporal_external_2025_2026,0,ridge_no_digital,1,0.18769580192195992,all
temporal_external_2025_2026,0,ridge_no_digital,2,0.3157879338334846,all
temporal_external_2025_2026,0,ridge_no_digital,3,0.3873868691405978,all
