evaluation,official_delay_weeks,country,region,horizon,variant,expert,expert_label,mean,std,min,max,count
rolling_window_cv,0,CHN,national,1,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.31683168316831684,0.24210299747450176,0.0,0.5,101
rolling_window_cv,0,CHN,national,1,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.594059405940594,0.19637809561059388,0.5,1.0,101
rolling_window_cv,0,CHN,national,1,full,gb_full_raw,Digital gradient-boosting expert,0.038068538379340475,0.09500331312149184,0.0,0.5,101
rolling_window_cv,0,CHN,national,1,full,ridge_raw_cn_search,China local-search expert,0.05104037251174864,0.12003724700695868,0.0,0.5,101
rolling_window_cv,0,CHN,national,2,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.2607152603927839,0.2436317089966489,0.0,0.5,101
rolling_window_cv,0,CHN,national,2,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.6237623762376238,0.21686332785950005,0.5,1.0,101
rolling_window_cv,0,CHN,national,2,full,gb_full_raw,Digital gradient-boosting expert,0.08259164176997309,0.15904507009380078,0.0,0.5,101
rolling_window_cv,0,CHN,national,2,full,ridge_raw_cn_search,China local-search expert,0.03293072159961924,0.09202132273047896,0.0,0.5,101
rolling_window_cv,0,CHN,national,3,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.19792781602732695,0.20925039862781145,0.0,0.5,101
rolling_window_cv,0,CHN,national,3,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.5792079207920792,0.18347579223601593,0.5,1.0,101
rolling_window_cv,0,CHN,national,3,full,gb_full_raw,Digital gradient-boosting expert,0.1039203173027107,0.15092677603579796,0.0,0.5,101
rolling_window_cv,0,CHN,national,3,full,ridge_raw_cn_search,China local-search expert,0.11894394587788314,0.1525563552399674,0.0,0.5,101
rolling_window_cv,0,CHN,national,4,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.1064656810899158,0.17817859449467485,0.0,0.5,101
rolling_window_cv,0,CHN,national,4,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.599009900990099,0.2002473717704932,0.5,1.0,101
rolling_window_cv,0,CHN,national,4,full,gb_full_raw,Digital gradient-boosting expert,0.15679348844418725,0.1845331379032833,0.0,0.5,101
rolling_window_cv,0,CHN,national,4,full,ridge_raw_cn_search,China local-search expert,0.13773092947579793,0.17273796361602275,0.0,0.5,101
rolling_window_cv,0,JPN,national,1,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,JPN,national,1,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,1.0,0.0,1.0,1.0,101
rolling_window_cv,0,JPN,national,1,full,gb_full_raw,Digital gradient-boosting expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,JPN,national,1,full,ridge_google_wiki,Google/Wikipedia expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,JPN,national,2,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,JPN,national,2,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.8415841584158416,0.23378080619788838,0.5,1.0,101
rolling_window_cv,0,JPN,national,2,full,gb_full_raw,Digital gradient-boosting expert,0.0049504950495049506,0.049751859510499465,0.0,0.5,101
rolling_window_cv,0,JPN,national,2,full,ridge_google_wiki,Google/Wikipedia expert,0.15346534653465346,0.23176037471303998,0.0,0.5,101
rolling_window_cv,0,JPN,national,3,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.31515294289933793,0.2267696509259888,0.0,0.5,101
rolling_window_cv,0,JPN,national,3,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.6336633663366337,0.22238580337907016,0.5,1.0,101
rolling_window_cv,0,JPN,national,3,full,gb_full_raw,Digital gradient-boosting expert,0.014487411383822184,0.05859184005112204,0.0,0.2713792169339543,101
rolling_window_cv,0,JPN,national,3,full,ridge_google_wiki,Google/Wikipedia expert,0.0366962793802062,0.11341674592332249,0.0,0.5,101
rolling_window_cv,0,JPN,national,4,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.10066152295838995,0.19688781440977274,0.0,0.5,101
rolling_window_cv,0,JPN,national,4,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.6237623762376238,0.21686332785950013,0.5,1.0,101
rolling_window_cv,0,JPN,national,4,full,gb_full_raw,Digital gradient-boosting expert,0.15891531993107852,0.2032516835520642,0.0,0.5,101
rolling_window_cv,0,JPN,national,4,full,ridge_google_wiki,Google/Wikipedia expert,0.11666078087290775,0.183217567861344,0.0,0.5,101
rolling_window_cv,0,USA,national,1,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.1449549382215662,0.22349881945415356,0.0,0.5,101
rolling_window_cv,0,USA,national,1,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.8415841584158416,0.23378080619788838,0.5,1.0,101
rolling_window_cv,0,USA,national,1,full,gb_full_raw,Digital gradient-boosting expert,0.0009515001549966095,0.009562458211193175,0.0,0.09610151565465756,101
rolling_window_cv,0,USA,national,1,full,ridge_global_open,Global open-data expert,0.0022323423225179516,0.01585858520839921,0.0,0.12357770826764396,101
rolling_window_cv,0,USA,national,1,full,ridge_google_wiki,Google/Wikipedia expert,0.006441584111194192,0.033550451223316874,0.0,0.24445271447462327,101
rolling_window_cv,0,USA,national,1,full,ridge_social_raw,Social-media expert,0.0038354767738834864,0.02248017173909687,0.0,0.16313191968697624,101
rolling_window_cv,0,USA,national,2,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.12429304457259133,0.21256507261008542,0.0,0.5,101
rolling_window_cv,0,USA,national,2,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.8613861386138614,0.22493123261552758,0.5,1.0,101
rolling_window_cv,0,USA,national,2,full,gb_full_raw,Digital gradient-boosting expert,0.0034454436629845465,0.01979102900319802,0.0,0.11677358723350284,101
rolling_window_cv,0,USA,national,2,full,ridge_global_open,Global open-data expert,0.005487213147495271,0.02728251417186002,0.0,0.16093535342727616,101
rolling_window_cv,0,USA,national,2,full,ridge_google_wiki,Google/Wikipedia expert,0.005388160003067472,0.026824259707518398,0.0,0.1612373405392576,101
rolling_window_cv,0,USA,national,2,full,ridge_social_raw,Social-media expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,3,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.13882260045005032,0.22224594216738955,0.0,0.5,101
rolling_window_cv,0,USA,national,3,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.8564356435643564,0.22733932417606875,0.5,1.0,101
rolling_window_cv,0,USA,national,3,full,gb_full_raw,Digital gradient-boosting expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,3,full,ridge_global_open,Global open-data expert,0.004741755985593235,0.03352841783720359,0.0,0.2411129530926167,101
rolling_window_cv,0,USA,national,3,full,ridge_google_wiki,Google/Wikipedia expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,3,full,ridge_social_raw,Social-media expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,4,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.09405940594059406,0.19637809561059394,0.0,0.5,101
rolling_window_cv,0,USA,national,4,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.905940594059406,0.19637809561059383,0.5,1.0,101
rolling_window_cv,0,USA,national,4,full,gb_full_raw,Digital gradient-boosting expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,4,full,ridge_global_open,Global open-data expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,4,full,ridge_google_wiki,Google/Wikipedia expert,0.0,0.0,0.0,0.0,101
rolling_window_cv,0,USA,national,4,full,ridge_social_raw,Social-media expert,0.0,0.0,0.0,0.0,101
temporal_external_2025_2026,0,CHN,national,1,base_only,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,1.0,0.0,1.0,1.0,62
temporal_external_2025_2026,0,CHN,national,1,full,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.08333333333333333,0.08367140098245492,0.0,0.16666666666666666,124
temporal_external_2025_2026,0,CHN,national,1,full,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.75,0.2510142029473648,0.5,1.0,124
temporal_external_2025_2026,0,CHN,national,1,full,gb_full_raw,Digital gradient-boosting expert,0.08333333333333333,0.08367140098245492,0.0,0.16666666666666666,124
temporal_external_2025_2026,0,CHN,national,1,full,ridge_raw_cn_search,China local-search expert,0.08333333333333333,0.08367140098245492,0.0,0.16666666666666666,124
temporal_external_2025_2026,0,CHN,national,1,no_china_local_search,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.0,0.0,0.0,0.0,62
temporal_external_2025_2026,0,CHN,national,1,no_china_local_search,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,1.0,0.0,1.0,1.0,62
temporal_external_2025_2026,0,CHN,national,1,no_china_local_search,gb_full_raw,Digital gradient-boosting expert,0.0,0.0,0.0,0.0,62
