model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons
bioepi_safe_lstm_common_scale,1,0.16512527139704636,0.2676391809751175,0.4408344940238424,0.911549020833391,0.8840138624451023,0.5191922566399918,0.8138587789001552,0.9448945025164538,0.2999021302325003,0.6334630068106539,1.4139188730813403,1104.0,3,8
bioepi_safe_lstm_common_scale,2,0.25868235123821737,0.4092424454958188,0.6576770217640469,0.8164450203923089,0.792405477633061,0.48295485225609447,0.7546702055708266,0.9276867288163873,0.48815181191966334,0.9239306722978093,2.4130033292360724,1104.0,3,8
bioepi_safe_lstm_common_scale,3,0.33921163595100934,0.514441298639638,0.8224643964286896,0.7172418004856426,0.754408187664374,0.5219121056010771,0.7545670039671917,0.8947409570183296,0.6113532224949177,1.1788069130440009,3.073477680229089,1104.0,3,8
bioepi_safe_lstm_common_scale,4,0.4059149599521436,0.6105986602598299,0.9625598300111179,0.6157003959896034,0.65802455380694,0.5131862581862582,0.7833500824572254,0.8922824596038882,0.7237078798040059,1.5948262479262416,3.310048648329705,1104.0,3,8
bioepi_safe_lstm_common_scale__base_only,1,0.16586698822958257,0.264711059904224,0.4460202576781252,0.909892972666302,0.8869504805994516,0.5119921619224755,0.8086142622379556,0.9357614346551628,0.2979836006460078,0.6347346126553307,1.3074175648956143,1104.0,3,8
bioepi_safe_lstm_common_scale__base_only,2,0.26632561790839654,0.41716877197689856,0.6768213615939139,0.8146317000016968,0.7863789060483173,0.47014599832534615,0.743065590810156,0.9131307589925602,0.4738962368618411,0.8819101218094457,2.32946019251273,1104.0,3,8
bioepi_safe_lstm_common_scale__base_only,3,0.347904736605743,0.5298760100923444,0.8449336211780393,0.7055171263345351,0.7285443945555262,0.47428583712257694,0.7329922119384781,0.8867376789395784,0.5705365849475096,1.1143956508629627,2.914258896293354,1104.0,3,8
bioepi_safe_lstm_common_scale__base_only,4,0.41178960647380686,0.6225586441614208,0.9813905811717264,0.6105718270332213,0.645170157528863,0.46919572491001066,0.7545010941439513,0.882278059242345,0.6680263530556972,1.4688708998236448,3.0933564120411905,1104.0,3,8
bioepi_safe_lstm_common_scale__no_china_local_search,1,0.16531994114721654,0.26708005667404633,0.4444999175518464,0.9099132274242964,0.8839416550386022,0.5199935386912738,0.8146600609514373,0.9464480085342455,0.3006831659766114,0.6344405536348953,1.4314528328727583,1104.0,3,8
bioepi_safe_lstm_common_scale__no_china_local_search,2,0.26055451759916537,0.41066609582743463,0.6667072822175366,0.8142330857072682,0.7930143009978131,0.483965164407711,0.7546702055708266,0.9268363886803327,0.48973335631474435,0.9254009987443039,2.414245508198235,1104.0,3,8
