scope,test_season,country,horizon,model,official_delay_weeks,probability_threshold,threshold_source,available_target_start,available_target_end,available_weeks,n_events,n_alarms,matched,sensitivity,PPV,F1,mean_lead_weeks
test_season,2018/2019,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2019-01-14,2019-06-24,24,4,6,4,1.0,0.6666666666666666,0.8,5.25
test_season,2019/2020,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,4,2,1.0,0.5,0.6666666666666666,5.0
test_season,2020/2021,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,2,2,2,1.0,1.0,1.0,1.0
test_season,2018/2019,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2019-01-21,2019-06-24,23,4,6,4,1.0,0.6666666666666666,0.8,5.25
test_season,2019/2020,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,5,2,1.0,0.4,0.5714285714285715,6.0
test_season,2020/2021,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,1,5,1,1.0,0.2,0.33333333333333337,3.0
test_season,2018/2019,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-01-28,2019-06-24,22,4,2,1,0.25,0.5,0.3333333333333333,5.0
test_season,2019/2020,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,3,2,1.0,0.6666666666666666,0.8,4.0
test_season,2020/2021,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2019-02-04,2019-06-24,21,4,2,1,0.25,0.5,0.3333333333333333,5.0
test_season,2019/2020,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,4,2,1.0,0.5,0.6666666666666666,5.0
test_season,2020/2021,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-01-07,2019-06-24,25,1,2,1,1.0,0.5,0.6666666666666666,3.0
test_season,2019/2020,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,3,2,1.0,0.6666666666666666,0.8,3.0
test_season,2020/2021,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2019-01-14,2019-06-24,24,1,2,1,1.0,0.5,0.6666666666666666,3.0
test_season,2019/2020,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,3,2,1.0,0.6666666666666666,0.8,4.0
test_season,2020/2021,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-01-21,2019-06-24,23,0,2,0,,0.0,,
test_season,2019/2020,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,2,2,1.0,1.0,1.0,2.5
test_season,2020/2021,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2019-01-28,2019-06-24,22,0,2,0,,0.0,,
test_season,2019/2020,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,2,4,2,1.0,0.5,0.6666666666666666,5.0
test_season,2020/2021,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,1,0,,0.0,,
test_season,2018/2019,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-01-07,2019-06-24,25,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2019/2020,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,4,6,4,1.0,0.6666666666666666,0.8,3.5
test_season,2020/2021,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2019-01-14,2019-06-24,24,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2019/2020,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,4,6,4,1.0,0.6666666666666666,0.8,3.5
test_season,2020/2021,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-01-21,2019-06-24,23,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2019/2020,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,4,6,4,1.0,0.6666666666666666,0.8,3.5
test_season,2020/2021,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2018/2019,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-01-28,2019-06-24,22,1,3,1,1.0,0.3333333333333333,0.5,6.0
test_season,2019/2020,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2019-07-01,2020-06-22,52,4,6,4,1.0,0.6666666666666666,0.8,3.5
test_season,2020/2021,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2020-06-29,2021-06-28,50,0,0,0,,,,
test_season,2021/2022,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,3,5,3,1.0,0.6,0.7499999999999999,4.333333333333333
test_season,2022/2023,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,2,7,2,1.0,0.2857142857142857,0.4444444444444445,3.0
test_season,2021/2022,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,3,4,3,1.0,0.75,0.8571428571428571,4.333333333333333
test_season,2022/2023,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,3,7,2,0.6666666666666666,0.2857142857142857,0.4,3.0
test_season,2021/2022,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,3,1,1,0.3333333333333333,1.0,0.5,2.0
test_season,2022/2023,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,3,6,2,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.5
test_season,2021/2022,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,3,3,3,1.0,1.0,1.0,4.333333333333333
test_season,2022/2023,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,3,6,2,0.6666666666666666,0.3333333333333333,0.4444444444444444,3.0
test_season,2021/2022,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,0,0,0,,,,
test_season,2022/2023,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,4,5,4,1.0,0.8,0.888888888888889,4.0
test_season,2021/2022,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,0,0,0,,,,
test_season,2022/2023,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,4,6,4,1.0,0.6666666666666666,0.8,5.0
test_season,2021/2022,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,0,0,0,,,,
test_season,2022/2023,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,2,5,2,1.0,0.4,0.5714285714285715,5.0
test_season,2021/2022,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,0,1,0,,0.0,,
test_season,2022/2023,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,2,6,2,1.0,0.3333333333333333,0.5,6.0
test_season,2021/2022,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,1,1,1,1.0,1.0,1.0,1.0
test_season,2022/2023,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,1,3,1,1.0,0.3333333333333333,0.5,4.0
test_season,2021/2022,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,1,1,1,1.0,1.0,1.0,1.0
test_season,2022/2023,USA,2,bioepi_safe_lstm_common_scale,0,0.8000000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,1,3,1,1.0,0.3333333333333333,0.5,4.0
test_season,2021/2022,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,1,1,1,1.0,1.0,1.0,1.0
test_season,2022/2023,USA,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,1,2,1,1.0,0.5,0.6666666666666666,4.0
test_season,2021/2022,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2021-07-05,2022-06-27,52,1,1,1,1.0,1.0,1.0,1.0
test_season,2022/2023,USA,4,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2022-07-04,2023-06-26,49,1,2,1,1.0,0.5,0.6666666666666666,4.0
test_season,2023/2024,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,8,12,8,1.0,0.6666666666666666,0.8,4.25
test_season,2024/2025,CHN,1,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,44,4,10,4,1.0,0.4,0.5714285714285715,2.25
test_season,2023/2024,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,8,12,8,1.0,0.6666666666666666,0.8,3.875
test_season,2024/2025,CHN,2,bioepi_safe_lstm_common_scale,0,0.3500000000000001,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,44,4,10,4,1.0,0.4,0.5714285714285715,2.75
test_season,2023/2024,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,8,8,7,0.875,0.875,0.875,3.0
test_season,2024/2025,CHN,3,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,44,4,3,1,0.25,0.3333333333333333,0.28571428571428575,4.0
test_season,2023/2024,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,8,13,8,1.0,0.6153846153846154,0.761904761904762,4.625
test_season,2024/2025,CHN,4,bioepi_safe_lstm_common_scale,0,0.6500000000000001,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,44,4,8,4,1.0,0.5,0.6666666666666666,2.25
test_season,2023/2024,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,8,4,0.8,0.5,0.6153846153846154,4.5
test_season,2024/2025,JPN,1,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,2.0
test_season,2023/2024,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,9,5,1.0,0.5555555555555556,0.7142857142857143,3.8
test_season,2024/2025,JPN,2,bioepi_safe_lstm_common_scale,0,0.5500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,2.0
test_season,2023/2024,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,9,5,1.0,0.5555555555555556,0.7142857142857143,4.4
test_season,2024/2025,JPN,3,bioepi_safe_lstm_common_scale,0,0.8500000000000002,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,2,1,1.0,0.5,0.6666666666666666,4.0
test_season,2023/2024,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,5,11,5,1.0,0.45454545454545453,0.625,4.6
test_season,2024/2025,JPN,4,bioepi_safe_lstm_common_scale,0,0.45,results/tables/v7_event_thresholds.csv,2024-07-01,2025-06-23,49,1,3,1,1.0,0.3333333333333333,0.5,5.0
test_season,2023/2024,USA,1,bioepi_safe_lstm_common_scale,0,0.9000000000000002,results/tables/v7_event_thresholds.csv,2023-07-03,2024-06-24,52,2,4,2,1.0,0.5,0.6666666666666666,4.0
